raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/train/entropy_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/learning_rate,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/n_updates
164.60498441999997,1,441,4,1000.0,157696,-6.624806474149227,76.38187050654322,0.219140625,-0.021138329556561076,0.7296733856201172,0.0003,1.430269479751587,1.7152529299724848,0.2,0.018226987,0.9240640252828598,760
170.96247641000002,1,440,4,1000.0,159744,-6.599508114159107,73.3959552172763,0.22578125,-0.023884696593449918,0.7277984023094177,0.0003,0.05675680190324783,0.5883918480016291,0.2,0.022558926,0.9844023436307907,770
177.38036236,1,429,4,1000.0,161792,-6.607508189976215,70.31376799682037,0.2642578125,-0.024710452189901845,0.7287167310714722,0.0003,0.08972111344337463,0.1172041437588632,0.2,0.023694852,0.42513322830200195,780
186.41719781,1,445,4,1000.0,163840,-6.597149181365967,68.04050112351155,0.14833984375,-0.019779942603781818,0.727508544921875,0.0003,0.4058360457420349,1.9878274571849033,0.2,0.012535898,0.8661660104990005,790
193.52688822,1,430,4,1000.0,165888,-6.592370682954789,66.34637803712161,0.1548828125,-0.02293917729984969,0.7278488874435425,0.0003,0.7172620296478271,1.063086510496214,0.2,0.015521607,0.9198146387934685,800
205.1361931,1,418,4,1000.0,167936,-6.583907940983773,64.50083701035697,0.2060546875,-0.0217641000970616,0.7259323000907898,0.0003,0.04343167692422867,0.33572125093778593,0.2,0.020647466,0.955914743244648,810
212.57569243000006,1,402,5,1000.0,169984,-6.558970132470131,64.22843690926699,0.16923828125,-0.024665906632435508,0.7209984660148621,0.0003,0.12445178627967834,0.6654402639716863,0.2,0.018355396,0.9596758373081684,820
226.32664801,1,417,4,1000.0,172032,-6.527885890007019,63.01001272801268,0.20009765625,-0.025193399797717574,0.7184311747550964,0.0003,0.07233850657939911,0.37243973241420464,0.2,0.020944513,0.9675384052097797,830
233.04467646,1,433,4,1000.0,174080,-6.518486441671849,60.83157630653978,0.197265625,-0.02048503755358979,0.7197802066802979,0.0003,-0.000790061429142952,0.4342409432632849,0.2,0.020565264,0.9703874122351408,840
244.80678529999997,1,443,4,1000.0,176128,-6.5286641150712965,59.58819918783938,0.22197265625,-0.030193771341873798,0.719038188457489,0.0003,0.03867880254983902,0.32218135284492744,0.2,0.021015724,0.9724356215447187,850
257.87635231,1,441,4,1000.0,178176,-6.515252181887627,58.18419636552469,0.199951171875,-0.02861564673075918,0.7182613611221313,0.0003,0.1540534645318985,0.6566706471145153,0.2,0.017887458,0.9349929690361023,860
264.25477767999996,1,440,4,1000.0,180224,-6.507461428642273,57.34932813674128,0.253662109375,-0.02782232883910183,0.717538595199585,0.0003,0.0924864113330841,0.3912424907553941,0.2,0.025334662,0.9738356452435255,870
270.33845988,1,442,4,1000.0,182272,-6.483949814736843,55.73709730001764,0.199560546875,-0.02570779246161692,0.7124616503715515,0.0003,0.07155029475688934,0.6651707616169006,0.2,0.017856792,0.9366830065846443,880
270.27582273,1,430,4,1000.0,184320,-6.477439507842064,54.547055816343864,0.244091796875,-0.026848908521060366,0.714911162853241,0.0003,0.007946970872581005,0.3683138970693108,0.2,0.026311515,0.753460630774498,890
275.77706748,1,419,4,1000.0,186368,-6.515250793099403,53.198882942657995,0.247265625,-0.02794250168954022,0.7196029424667358,0.0003,-0.013509254902601242,0.2427523986552842,0.2,0.023322256,0.9329836592078209,900
277.19627586000007,1,409,4,1000.0,188416,-6.533804135024548,52.47235298478151,0.2259765625,-0.03074264069146011,0.7191953659057617,0.0003,0.11114112287759781,0.37542142665479333,0.2,0.024780974,0.8987338691949844,910
290.5205073,1,424,4,1000.0,190464,-6.520664912462235,51.744624636403806,0.208544921875,-0.03384027555002831,0.7188800573348999,0.0003,0.03575929254293442,0.27787409971933813,0.2,0.021475393,0.943124782294035,920
288.45711410999996,1,429,4,1000.0,192512,-6.531345427036285,51.86612384361808,0.254931640625,-0.036177951138233765,0.7205774188041687,0.0003,-0.001010846346616745,0.2864266668679193,0.2,0.025439244,0.9425212852656841,930
287.56184953999997,1,441,4,1000.0,194560,-6.557454296946526,51.0478552368968,0.18251953125,-0.025844609198975375,0.723471999168396,0.0003,-0.018528912216424942,0.2734041601521312,0.2,0.016979653,0.8402862995862961,940
291.34165148,1,444,4,1000.0,196608,-6.555418977141381,49.941153246861525,0.244775390625,-0.028510122021543793,0.7225231528282166,0.0003,0.004285451024770737,0.23262092974036933,0.2,0.02375226,0.9358222857117653,950
286.94367753,1,440,4,1000.0,198656,-6.553239248692989,49.350760540354734,0.219140625,-0.030584668929805048,0.72345370054245,0.0003,0.04502804949879646,0.23697806846466846,0.2,0.023388496,0.8675921410322189,960
276.69469082,1,439,4,1000.0,200704,-6.550742138922215,47.97425552048106,0.206787109375,-0.03204745491384529,0.7198752164840698,0.0003,-0.023044172674417496,0.1282989173021633,0.2,0.01996708,0.7264368832111359,970
274.30635681000007,1,427,4,1000.0,202752,-6.5185813277959825,46.52449239196275,0.21416015625,-0.023308133601676672,0.7168850302696228,0.0003,-0.018871810287237167,0.049063447937442106,0.2,0.01978014,0.8988270089030266,980
272.21119157,1,413,4,1000.0,204800,-6.486224986612797,46.36523980902998,0.1751953125,-0.028274811594747006,0.7114630937576294,0.0003,0.5836240649223328,1.1912442864384503,0.2,0.017770378,0.7736692875623703,990
279.98029437,1,406,5,1000.0,206848,-6.45646516084671,46.03470273631624,0.2349609375,-0.03296981541789137,0.7101570963859558,0.0003,0.12130625545978546,0.5413616660516709,0.2,0.020018091,0.9450704343616962,1000
285.35049684000006,1,419,4,1000.0,208896,-6.4489209145307544,46.23056532371193,0.21640625,-0.030000152176944538,0.7083944082260132,0.0003,0.08380749821662903,0.2545241092564538,0.2,0.02066923,0.9504406228661537,1010
287.50055182,1,428,4,1000.0,210944,-6.444190661609173,46.132900295858924,0.193115234375,-0.027069217545795256,0.7101278305053711,0.0003,0.12248175591230392,0.3213722816493828,0.2,0.019602055,0.934722550213337,1020
292.63426081,1,436,4,1000.0,212992,-6.431873349845409,45.10680895268158,0.200048828125,-0.0279033769184025,0.7067593336105347,0.0003,0.035549063235521317,0.45901702346745876,0.2,0.019702263,0.8005484044551849,1030
295.65225444,1,437,4,1000.0,215040,-6.404492019116878,44.67162014356164,0.191748046875,-0.025536324657150545,0.7041217684745789,0.0003,0.022232018411159515,0.954240420088172,0.2,0.018257461,0.6427758932113647,1040
290.65083457000003,1,440,4,1000.0,217088,-6.386958658695221,43.81740078778128,0.256787109375,-0.03304640610876959,0.700999915599823,0.0003,0.11885220557451248,0.30250202732859177,0.2,0.02773764,0.9284983947873116,1050
290.17824948000003,1,441,4,1000.0,219136,-6.354170498251915,42.60147667398661,0.192626953125,-0.026720399255282246,0.697410523891449,0.0003,0.03799377381801605,0.5503028582548722,0.2,0.018501634,0.9024785831570625,1060
292.41939125,1,428,4,1000.0,221184,-6.327134047448635,42.38509786216647,0.228271484375,-0.031442835615598595,0.6946474313735962,0.0003,0.03277083486318588,0.2795727877761237,0.2,0.021914244,0.938462171703577,1070
296.242309,1,424,4,1000.0,223232,-6.322322495281696,42.21470655265071,0.2228515625,-0.029085239858250133,0.696064829826355,0.0003,0.04446915537118912,0.4725099809002131,0.2,0.020257734,0.9198755398392677,1080
300.31401151999995,1,407,5,1000.0,225280,-6.314502646028996,42.279522796364944,0.268115234375,-0.031174819721491075,0.6940531730651855,0.0003,0.26412737369537354,0.4701486910809763,0.2,0.02449489,0.9382697008550167,1090
301.21733463,1,410,4,1000.0,227328,-6.318367736041546,41.83450055647007,0.2525390625,-0.03500551538891159,0.6948795318603516,0.0003,-0.03246045112609863,0.14167192797758615,0.2,0.024044134,0.8946308717131615,1100
299.5883921100001,1,422,4,1000.0,229376,-6.317015027999878,41.15885586234539,0.21884765625,-0.030403746612137184,0.695868194103241,0.0003,-0.02942897379398346,0.21495731370523571,0.2,0.019887343,0.8769511133432388,1110
296.65290437000004,1,430,4,1000.0,231424,-6.290106655657292,39.326390481865495,0.23828125,-0.033170082463766445,0.6891100406646729,0.0003,0.04484226554632187,0.34482811340130864,0.2,0.025602836,0.9008287563920021,1120
